TIG_PostNL::Enabled,Activé
TIG_PostNL::You should make sure that each product you intend to ship using PostNL has a maximum size of 175 x 78 x 58 cm and weighs less than 30 kg. You will have to split heavier orders into separate parcels. To do this you may create multiple shipments for a single order or you may use the extension's multi-colli functionality.,Avec cette extension, vous ne pouvez envoyer que des produits respectant les dimensions (175 x 78 x 58 cm) et poids (30 kg) maximaux. Pour les produits plus lourds, vous devez réaliser plusieurs envois pour une seule commande ou utiliser la fonctionnalité multi-colis.
TIG_PostNL::Configure the PostNL sending method under system > config > shipping methods > PostNL. You may choose to charge either a flat rate or a table rate-based shipping fee. More info on how to setup the Table Rate shipping method can be found <a href='%s' target='_blank'>here</a>.,Configurez correctement la méthode d'envoi PostNL dans Système > Configuration > Méthodes d'envoi > PostNL. Vous pouvez opter pour un tarif fixe ou un tableau tarifaire pour l'utilisation de PostNL. Pour plus d’informations sur la manière de paramétrer le tableau tarifaire, regardez ici.
TIG_PostNL::PostNL needs to be able to retrieve a properly formatted address from the checkout process in order to guarantee the order is delivered at the correct address. To do so, you need to enable the postcode validation or configure the appropriate number of street lines in your checkout flow and make sure these have correct labels and validation settings. More info on how to do this, can be found <a href='%s' target='_blank'>here</a>.,Si vous utilisez le contrôle du code postal, l'extension paramètrera le processus de paiement pour vous. Si vous ne l'utilisez pas, PostNL doit pouvoir lire une adresse correctement présentée dans le processus de paiement pour assurer un envoi correct. Pour en être sûr, vous devez utiliser le nombre de lignes adéquat pour la rue et prévoir des étiquettes ainsi qu'une validation claires. Découvrez ici comment configurer cela au mieux.
TIG_PostNL::We highly recommend you place several 'test' shipments, before you use the extension for real shipments.,Réalisez toujours quelques tests d'envoi avant d'utiliser l'extension pour de véritables commandes.
TIG_PostNL::We cannot guarantee compatibility with non supported extensions and versions of Magento.,La compatibilité avec des extensions et versions non soutenues de Magento n'est pas garantie.
TIG_PostNL::The extension is developed by TIG, commissioned by PostNL.,L'extension a été développée par TIG à la demande de PostNL.
TIG_PostNL::PostNL account information and PostNL services,Informations sur le compte PostNL et services PostNL
TIG_PostNL::For questions related to your PostNL account and PostNL delivery options, please contact PostNL.,Pour toutes questions relatives à votre compte PostNL et aux options de livraison PostNL, veuillez prendre contact avec PostNL.
TIG_PostNL::Phone:,Téléphone :
TIG_PostNL::Extension support and configuration questions,Assistance pour l'extension et questions sur la configuration
TIG_PostNL::For configuration problems, extension conflicts and bugs, contact TIG.,Pour les questions en rapport avec les problèmes de configuration, les conflits d'extension et les bugs, veuillez prendre contact avec TIG.
TIG_PostNL::Online knowledgebase:,Base de connaissance en ligne :
TIG_PostNL::Website:,Site Web :
TIG_PostNL::Request help directly:,Demande d'assistance directe :
TIG_PostNL::Email:,Adresse électronique :
TIG_PostNL::For questions about installing and configuring the extension please consult the relevant documentation:,Vous avez des questions sur l'installation ou la configuration de l'extension ? Consultez d'abord la documentation pertinente :
TIG_PostNL::A list of documents regarding the extension.,Une liste des documents en rapport avec l'extension.
TIG_PostNL::View the installation manual.,Consultez le manuel d'installation.
TIG_PostNL::Installation manual,Manuel d'installation.
TIG_PostNL::View the release notes of the extension.,Consultez les notes de version de l'extension.
TIG_PostNL::Release notes,Notes de version
TIG_PostNL::PostNL Checkout has been disabled,PostNL Checkout a été déconnecté
TIG_PostNL::The quote is virtual.,Le panier contient quelques produits virtuels
TIG_PostNL::The quote's grand total is below the minimum amount required.,Le montant total du panier est inférieur au minimum.
TIG_PostNL::No standard product options are enabled. At least 1 option must be active.,Il n'y a pas d'options produit standard. Au moins 1 option doit être disponible.
TIG_PostNL::You have not yet enabled the PostNL extension.,L'extension PostNL n'est pas encore active.
TIG_PostNL::Tomorrow,Demain
TIG_PostNL::%s days from now,Dans %s jours
TIG_PostNL::Post Office,Bureau de poste
TIG_PostNL::Instruction page,Page d'instructions
TIG_PostNL::Select a page containing instructions on how to use PostNL Checkout. A link to this page will be shown underneath the PostNL Checkout button to aid customers. Select 'none' to hide this link.,Sélectionnez une page avec des instructions sur la manière dont PostNL Checkout peut être utilisé. Un lien vers cette page sera affiché sous le bouton PostNL Checkout pour aider les clients. Sélectionnez « aucun » pour ne pas afficher ce lien.
TIG_PostNL::-- none --,-- aucun --
TIG_PostNL::Invalid full street supplied: %s,Adresse complète invalide : %s
TIG_PostNL::Unable to match barcode to shippingStatus response: %s,Impossible d'associer le code-barres au shippingStatus : %s
TIG_PostNL::Temporary template file already exists: %s,Le fichier modèle provisoire existe déjà : %s
TIG_PostNL::The generateBarcodes action is currently unavailable.,L'action generateBarcodes est actuellement indisponible.
TIG_PostNL::Invalid confirm response received: %s,Confirmation de réception invalide : %s
TIG_PostNL::Unable to add tracking info: no barcode or shipment available.,Impossible d'ajouter des informations de suivi. Aucun code-barres ou envoi disponible.
TIG_PostNL::No private or unique key found. Unable to complete the request.,Aucune clé unique ou privée trouvée. Impossible d'achever la demande.
TIG_PostNL::Invalid updateStatistics response: %s,Réponse updateStatistics invalide : %s
TIG_PostNL::Unable to save shipping_status cron expression: %s,Enregistrement impossible pour l'expression du cron shipping_status : %s
TIG_PostNL::No message supplied.,Aucune mention indiquée.
TIG_PostNL::No message type supplied.,Aucun modèle de mention indiqué
TIG_PostNL::Invalid address type supplied: %s,Modèle d'adresse invalide : %s
TIG_PostNL::The confirm action is currently unavailable.,Action annoncée actuellement indisponible.
TIG_PostNL::The confirmAndGenerateLabel action is currently unavailable.,L'action confirmAndGenerateLabel est actuellement indisponible.
TIG_PostNL::Invalid message type requested: %s,Modèle de message invalide : %s
TIG_PostNL::Unable to read directory: %s,Dossier illisible : %s
TIG_PostNL::Invalid UpdateOrder response: %s,UpdateOrder invalide : %s
"TIG_PostNL::Here you can configure your PostNL account.</p><p>In order to use this extension you need to <a href='http://www.postnl.nl/zakelijk/e-commerce/flexibele-bezorgopties' target='_blank' title='Register'>register</a> yourself with PostNL. You will then receive all necessary information in order to configure the extension. If you cannot find the email containing this information, please contact your PostNL account manager.</p><p>If you want to test the extension, but don't have any test mode credentials you can use the account credentials found <a href=""http://kb.tig.nl/topic/55404467"" title=""Test mode account credentials"" target=""_blank"">here</a>.","Vous pouvez compléter ici les données de votre compte PostNL.</p><p>Pour l'utilisation de l'extension, vous devez vous <a href='http://www.postnl.nl/zakelijk/e-commerce/flexibele-bezorgopties' target='_blank' title='Aanmelden'>enregistrer</a> auprès de PostNL. Vous recevrez ensuite les données nécessaires pour vos paramètres. Si vous ne retrouvez plus l'e-mail reprenant ces données, prenez contact avec votre account manager PostNL.</p><p>Si vous voulez tester l'extension, mais ne disposez pas de données de compte en mode test, vous pouvez utiliser les données indiquées <a href=""http://kb.tig.nl/topic/55404467"" title=""Test modus account gegevens"" target=""_blank"">ici</a>."
TIG_PostNL::You will find these settings in your <a href='https://checkout.postnl.nl/' target='_blank' title='PostNL'>PostNL Checkout account</a>.</p><p><a href='https://checkout.postnl.nl/' target='_blank' title='PostNL Checkout'>PostNL Checkout</a> is a free service, however you do need to <a href='https://checkout.postnl.nl/Consumer/Register?utm_source=magento&utm_medium=referral&utm_campaign=2014' target='_blank' title='Register'>register</a> yourself with PostNL. You will then receive all necessary information in order to configure this feature.,Vous trouverez ces données dans vos <a href='https://checkout.postnl.nl/' target='_blank' title='PostNL'>paramètres Checkout</a> auprès de PostNL.</p><p><a href='https://checkout.postnl.nl/' target='_blank' title='PostNL Checkout'>PostNL Checkout</a> est un service gratuit, mais il faut vous <a href='https://checkout.postnl.nl/Consumer/Register?utm_source=magento&utm_medium=referral&utm_campaign=2014' target='_blank' title='Aanmelden'>enregistrer</a> auprès de PostNL. Vous recevez ensuite les données nécessaires pour vos paramètres.
TIG_PostNL::ONLY CHANGE THESE SETTINGS WITH DIRECT INSTRUCTION FROM POSTNL OR TIG,N'APPLIQUEZ CES PARAMETRES QU'AVEC LES INSTRUCTIONS DIRECTES DE POSTNL OU TIG.
TIG_PostNL::Offer customers the possibility to subscribe to your store's newsletter. Please note: This feature might conflict with other extensions that also use Magento's newsletter functionality.,Offrez la possibilité aux clients de s'inscrire à la newsletter de votre webshop. Attention : cette fonction peut entrer en conflit avec d'autres extensions qui adaptent cette fonctionnalité.
TIG_PostNL::Doorcodes are often used in foreign addresses such as those used in France and Singapore.,Les codes de porte sont souvent utilisés dans les adresses étrangères, comme les adresses en France ou à Singapour.
"TIG_PostNL::PostNL Checkout is a method alongside your own order process that allows your customers to choose where, when and how to receive their order. Please note: Use the Delivery Options to configure the PostNL settings in your own checkout. Use the settings below to configure the settings for the PostNL Checkout.<br/><br/>Does the PostNL Checkout button stay gray? Click <a href=""http://kb.tig.nl/topic/39102986"" target=""_blank"">here</a> for possible causes and solutions.","PostNL Checkout est une méthode grâce à laquelle, outre votre propre processus de commande, votre client a la possibilité de choisir facilement et rapidement où, quand et comment il souhaite recevoir sa commande. Attention : avec les options de livraison, vous configurez les paramètres PostNL dans votre propre processus de commande, avec les paramètres ci-dessous, vous configurez les paramètres de PostNL Checkout. <br/><br/>Le bouton PostNL Checkout reste gris ? Cliquez <a href=""http://kb.tig.nl/topic/39102986"" target=""_blank"">ici</a> pour trouver les causes et solutions éventuelles."
TIG_PostNL::Klarna,Klarna
TIG_PostNL::Use Klarna,Utilisation de Klarna
TIG_PostNL::Klarna payment method,Méthode de paiement Klarna
TIG_PostNL::Ping status request resulting in an error.,La demande de statut ping a échoué.
TIG_PostNL::Ping status response indicated PostNL Checkout is currently not available.,La demande de statut ping indique que PostNL Checkout est actuellement indisponible.
TIG_PostNL::In order to continuously improve the PostNL extension, the extension sends usage statistics to a secure PostNL server.,Pour continuer à améliorer l'extension, celle-ci envoie des statistiques d'utilisation au serveur sécurisé de PostNL.
TIG_PostNL::Receive notifications from PostNL regarding updates and promotions,Recevoir des notifications de PostNL concernant les mises à jour et promotions
TIG_PostNL::Leave empty to allow an infinite amount of parcels per shipment.<br/>If this value is empty or exceeds 200, you need to set 'Allow infinite label printing' to yes in order to be able to print the shipment's labels.,Laissez vide pour autoriser un nombre illimité de boîtes par envoi.<br/>Si ce champ est vide ou si la valeur est supérieure à 200, il faut indiquer « oui » pour « Autoriser l'impression continue d'étiquettes ». Sinon, il ne sera pas possible d'imprimer l'étiquette de certains envois.
TIG_PostNL::Allow test mode,Autoriser le mode test
TIG_PostNL::If enabled new fields will appear allowing you to configure the extension for test mode.,Si ce paramètre est activé, de nouveaux champs de configuration apparaîtront afin de configurer l'extension pour un mode test.
TIG_PostNL::Restore default values,Restaurer les paramètres d'usine
TIG_PostNL::You can customize the track & trace email in system > transactional emails.,Vous pouvez adapter l'e-mail Track & Trace dans Système > E-mails transactionnels
TIG_PostNL::If you do not use split street lines and you wish to ship to outside the EU, there is a strong possibility that PostNL will be unable to properly parse the address. This may result in the shipment being refused or it may even lead to the shipment being delivered at the wrong address!,Si vous n'utilisez des lignes d'adresse séparées, mais effectuez des envois en dehors de l'UE, il y a un risque élevé que PostNL ne puisse pas traiter correctement l'adresse. Cela peut mener à un envoi refusé par PostNL ou l'envoi à une mauvaise adresse !
TIG_PostNL::Field not used.,Champ non utilisé.
TIG_PostNL::Street line #%s,Ligne d'adresse #%s
TIG_PostNL::The HS tariff value is a number used for export in high volumes to identify the type of product that is shipped. Deactivate this function to leave the value on '000000' or contact PostNL for more information.,Le tarif SH est utilisé pour les gros volumes d'exportation afin d'identifier le type de produit. Désactivez cette fonction pour maintenir la valeur à « 000000 » ou prenez contact avec PostNL pour plus d'informations.
TIG_PostNL::Post Office options,Options bureau de poste
TIG_PostNL::Customers can select a specific date and time when they want their shipment delivered when they use PostNL Checkout. If they are attempting to order an item that is not in stock it's possible that you won't be able to guarantee that the item will be delieverd on the chosen date and time. If this setting is disabled customers will not be able to use PostNL Checkout if they are attempting to order an item that is not in stock, thereby preventing this situation.,Les clients peuvent choisir une date et une heure précise pour la livraison de la commande quand ils utilisent PostNL Checkout. Quand un client passe une commande incluant un produit qui n'est pas en stock, il est possible que vous ne puissiez pas garantir la livraison de la commande au moment choisi. Si ce paramètre n'est pas sélectionné, les clients ne pourront pas utiliser PostNL Checkout dans ce cas. Ainsi, vous évitez que cette situation survienne.
TIG_PostNL::The price overview will contain the order's subtotal and shipping costs only.,L'aperçu du prix comprend le sous-total et les frais d'envoi de la commande.
TIG_PostNL::Shipping Methods,Méthodes d'envoi
TIG_PostNL::Use GlobalPack,Utilisation de GlobalPack
TIG_PostNL::GlobalPack is used to ship orders outside the EU. Otherwise you can leave this field disabled.,GlobalPack est utilisé pour envoyer des commandes en dehors de l'UE. Si vous ne l'utilisez pas, vous pouvez ignorer ce paramètre.
TIG_PostNL::Use PostNL Checkout and Mijnpakket login,Utilisation de PostNL Checkout et Mijnpakket Login
TIG_PostNL::If you wish to make use of PostNL Checkout or Mijnpakket login, set this field to 'yes'.,Si vous souhaitez utiliser PostNL Checkout ou Mijnpakket login, vous devez régler ce paramètre sur « oui ».
TIG_PostNL::You have not enabled GlobalPack. Please enable GlobalPack under 'Account Settings' in order to configure your GlobalPack preferences.,Vous n'avez pas activé GlobalPack. Activez GlobalPack dans « Paramètres du compte » pour configurer vos préférences GlobalPack.
TIG_PostNL::You have not enabled PostNL Checkout. Please enable PostNL Checkout under 'Account Settings' in order to configure your PostNL Checkout preferences.,Vous n'avez pas activé PostNL Checkout. Activez PostNL Checkout dans « Paramètres du compte » pour configurer vos préférences PostNL Checkout.
TIG_PostNL::Account settings have been succesfully validated. Please save this page to keep these settings.,Les paramètres du compte ont été validés avec succès. Enregistrez cette page pour conserver ces paramètres.
TIG_PostNL::One or more fields are missing. Please fill these fields and try again.,Un ou plusieurs champs n'ont pas été complétés. Complétez ces champs et réessayez.
TIG_PostNL::Your account settings are incorrect. Please check all fields and try again. If this error persists, please contact PostNL.,Les paramètres du compte sont incorrects. Contrôlez tous les champs attentivement et réessayez. Si ce message persiste, veuillez prendre contact avec PostNL.
TIG_PostNL::This will send a 'test' request to PostNL. If the above fields are not entered correctly, this will result in an error. Please note that the PostNL extension must be active for the validation to succeed. <br />Please note that the webshop ID and public webshop ID fields will not be validated. Only your CIF credentials will be checked.,Une demande « test » va être envoyée à PostNL. Si les champs ci-dessus ne sont pas correctement complétés, vous recevrez un message d'erreur. L'extension PostNL doit être active.<br />N.B. : l'identifiant de votre webshop et l'identifiant public de votre webshop ne seront pas validés. Seules les données de votre compte CIF seront contrôlées.
TIG_PostNL::Validate account settings,Valider les paramètres du compte
TIG_PostNL::Unconfirmed,Pas annoncé
TIG_PostNL::Confirm Status,Statut annoncé
TIG_PostNL::A4 format,Format A4
TIG_PostNL::A6 format,Format A6
TIG_PostNL::PostNL - Print Shipping Label,PostNL - Imprimer l'étiquette d'envoi
TIG_PostNL::PostNL - Send Tracking Information,PostNL - Envoyer les informations Track & Trace
TIG_PostNL::No status history available.,Aucun historique de statut disponible.
TIG_PostNL::PostNL - Create Parcelware export,PostNL - Réaliser une exportation Parcelware
TIG_PostNL::Exported to Parcelware,Exporté via Parcelware
TIG_PostNL::Parcelware Settings,Paramètres Parcelware
TIG_PostNL::This is where you can configure your Parcelware export. You can find more information about configuring these settings <a href="http://kb.tig.nl/topic/94906903" target="_blank" title="More info">here</a>.,Vous pouvez indiquer ici vos préférences d'exportations Parcelware. Vous trouverez <a href="http://kb.tig.nl/topic/94906903" target="_blank" title="Meer informatie">ici</a> davantage d'informations sur la configuration de ces paramètres.
TIG_PostNL::Enable Parcelware export,Activer l'exportation Parcelware
TIG_PostNL::Parcelware export is disabled. Activate Parcelware export in order to edit these settings. Please note that you can only activate Parcelware export from the global level.,L'exportation Parcelware est désactivée. Activez l'exportation Parcelware pour pouvoir adapter les paramètres. Tenez compte du fait que l'exportation Parcelware ne peut être activée qu'au niveau international.
TIG_PostNL::Automatically confirm exported shipments,Annoncer automatiquement les envois exportés
TIG_PostNL::This setting will not actually confirm your shipments, it will only give shipments the confirmed status in Magento. This prevents you from accidentally confirming a shipment multiple times in Magento and ParcelWare.,Ce paramètre n'annonce pas réellement les produits, mais veille à ce que ce statut apparaisse dans Magento. Cela évite que les commandes soient doublées dans Magento et Parcelware.
TIG_PostNL::Contract reference number,Numéro de référence du contrat
TIG_PostNL::Contract name,Nom du contrat
TIG_PostNL::Sender address reference number,Numéro de référence de l'adresse de l'expéditeur
TIG_PostNL::Your webshop has been registered. Within a few minutes you will recieve an email at the emailaddress you specified. Please read this email carefully as it contains instructions on how to finish the extension registration procedure.,Votre webshop est enregistré. Dans quelques minutes, vous recevrez un e-mail sur l'adresse que vous avez fournie. Lisez attentivement cet e-mail, vu qu'il contient des instructions complémentaires pour achever la procédure d'enregistrement.
TIG_PostNL::Product option,Options de produit
TIG_PostNL::Use postcode check,Utilisation du contrôle du code postal
TIG_PostNL::Automatically complete Dutch addresses after your customer fills in his postcode and house number.,Les adresses néerlandaises sont automatiquement complétées et contrôlées quand votre client indique son code postal et son numéro de maison.
TIG_PostNL::Use postcode check on checkout page,Utiliser le contrôle du code postal sur la page de paiement
TIG_PostNL::Use postcode check in customer's address book,Utiliser le contrôle du code postal dans le carnet d'adresse du client
TIG_PostNL::Shipping Product,Produit d'envoi
TIG_PostNL::Delivery Date,Date de livraison
TIG_PostNL::Customize this grid.,Adapter l'aperçu.
TIG_PostNL::Selecting too many columns may cause the shipment grid to no longer fit on your monitor.,Si vous sélectionnez trop de colonnes, cela peut mener à ce que l'aperçu ne s'adapte plus à votre écran.
TIG_PostNL::Your PostNL account credentials could not be validated. Please enter valid PostNL account credentials before activating the postcode check functionality.,Les données de votre compte PostNL ne peuvent pas être validées. Veuillez indiquer des données de compte PostNL valides avant d'activer la fonctionnalité de contrôle du code postal.
TIG_PostNL::Maximum number of attempts,Nombre de tentatives maximum
TIG_PostNL::After this number of attempts your customer will be prompted to fill in his address manually. Leave this field empty to allow an infinite number of attempts. Please note however that in rare cases a correct address might not be validated, leaving your customer unable to complete the order process. We therefore recommend always filling in a maximum number of attempts.,Après ce nombre de tentatives, votre client peut indiquer son adresse manuellement. Si ce champ reste vide, un nombre illimité de tentative est autorisé. Attention : dans de rares cas, il arrive qu'une adresse correcte ne puisse pas être validée. Nous recommandons donc de toujours indiquer un nombre maximal de tentatives.
TIG_PostNL::Your postcode/housenumber combination could not be found. Please enter your streetname and city manually.,La combinaison de votre code postal/numéro de maison n'a pas été trouvée. Veuillez indiquer manuellement le nom de votre rue et le lieu.
TIG_PostNL::Please enter a postcode and housenumber.,Veuillez indiquer un code postal et un numéro.
TIG_PostNL::Your postcode/housenumber combination could not be found. Please make sure you have entered a valid postcode and housenumber and try again.,La combinaison de votre code postal/numéro de maison n'a pas été trouvée. Veuillez vérifier si le numéro de maison et le code postal indiqués sont corrects.
TIG_PostNL::Please enter a valid postcode. A valid postcode contains 4 numbers and 2 letters without spaces, for example: 1000XX.,Veuillez indiquer un code postal correct. Un code postal correct contient 4 chiffres et 2 lettres sans espace, exemple 1000XX.
TIG_PostNL::Please enter a valid housenumber. Housenumbers may only contain digits.,Veuillez indiquer un numéro de maison correct. Les numéros de maison ne peuvent contenir que des chiffres.
TIG_PostNL::Country,Pays
TIG_PostNL::Zip/Postal Code,Code postal
TIG_PostNL::Housenumber,Numéro
TIG_PostNL::Extension,Complément
TIG_PostNL::Street name,Nom de la rue
TIG_PostNL::City,Ville
TIG_PostNL::Street Address %s,Ligne d'adresse #%s
TIG_PostNL::Delivery date webservice version,Version service web date de livraison
TIG_PostNL::No data available for GetDeliveryDay request.,Aucune donnée disponible pour la demande GetDeliveryDate.
TIG_PostNL::Invalid GetDeliveryDate response: %s,Réponse GetDeliveryDate invalide : %s
TIG_PostNL::No data available for GetDeliveryDay request.,Aucune donnée disponible pour la demande GetDeliveryDay.
TIG_PostNL::Timeframe webservice version,Version service web calendrier
TIG_PostNL::More Info,Plus d'informations
TIG_PostNL::from,à partir de
TIG_PostNL::early delivery,
TIG_PostNL::available,disponible
TIG_PostNL::evening,soir
TIG_PostNL::Post Office,Point de collecte
TIG_PostNL::Delivery Options,Options de livraison
TIG_PostNL::Delivery Options NL,Options de livraison NL
TIG_PostNL::Delivery Options INT,Options de livraison INT
TIG_PostNL::Delivery,Livraison à domicile
TIG_PostNL::or Pickup,ou retrait
TIG_PostNL::Su,Di
TIG_PostNL::Mo,Lu
TIG_PostNL::Tu,Ma
TIG_PostNL::We,Me
TIG_PostNL::Th,Je
TIG_PostNL::Fr,Ve
TIG_PostNL::Sa,Sa
TIG_PostNL::in,à
TIG_PostNL::Business Hours,Horaires d’ouverture
TIG_PostNL::Closed,Fermé
TIG_PostNL::Delivery,Livraison
TIG_PostNL::or Pickup,ou retrait
TIG_PostNL::More Info,Pour plus d’informations
TIG_PostNL::choose a different pickup location,Choisir un autre point de retrait
TIG_PostNL::Select pickup location,Choisir un bureau de poste
TIG_PostNL::Search,Rechercher
TIG_PostNL::early pickup,retrait à l'aube
TIG_PostNL::open in the evening,Retrait possible le soir
TIG_PostNL::Close,Fermer
TIG_PostNL::Pickup locations found,Points de retrait trouvés
TIG_PostNL::business hours,horaires d’ouverture
TIG_PostNL::Save,Enregistrer
TIG_PostNL::Search by zipcode, address or city,Rechercher en fonction du code postal, de l'adresse ou du nom
TIG_PostNL::business hours,horaires d’ouverture
TIG_PostNL::Early pickup available,Retrait à l'aube possible
TIG_PostNL::Evening pickup available,Retrait le soir possible
TIG_PostNL::Or pick your own delivery moment,Ou choisissez vous-même l'heure de livraison
TIG_PostNL::Connection timeout duration,Temps de connexion expiré
TIG_PostNL::After this number of seconds a customer will be prompted to fill in his address manually. Leave this field empty to disable the feature. Please note: if a customer needs to wait too long he might leave the order process.,Après ce nombre de secondes, votre client peut indiquer l'adresse à la main. Si ce champ reste vide, la fonctionnalité est désactivée. Attention : si un client doit attendre trop longtemps, il quittera peut-être le processus de commande.
TIG_PostNL::Show PostNL Checkout exclusively to users with a PostNL account,Montrer PostNL Checkout uniquement aux utilisateurs avec un compte PostNL
TIG_PostNL::Activate the PostNL Checkout only for customers with a PostNL account. Please note: The Delivery Options must be activated.,Activer pour ne montrer PostNL Checkout qu'aux clients qui disposent d'un compte PostNL. Attention : les options de livraison doivent être activées.
"TIG_PostNL::Your customers choose when, where and how they would like to receive their orders with PostNL's delivery options. Let your customers pick a day and the extension will show the estimated time of delivery. On Tuesdays and Wednesdays PostNL also delivers in the evening. Maybe your customers prefer to pick up their orders from one of the 2000 Post offices? No problem, a growing number of locations even have the orders ready for pickup early in the morning.","Avec les options de livraison PostNL, les clients peuvent choisir où, quand et comment ils souhaitent recevoir leur commande. Ainsi, vos clients peuvent choisir le jour de livraison et il leur est signalé immédiatement à quel moment de la journée la livraison aura lieu. Du lundi au vendredi inclus, PostNL livre aussi le soir et même le jour de la commande si possible. Vos clients préfèrent retirer la commande dans un des 2000 points de retrait PostNL ? Ceci est possible à partir de 15h et, à certains endroits, à partir de 8h30."
TIG_PostNL::Enable PostNL delivery options,Activer les options de livraison PostNL
TIG_PostNL::You can disable PostNL delivery options in case the order has products that are not in stock or if the order weighs less than 2 kg.,Vous pouvez désactiver les options de livraison PostNL si la commande contient un produit qui n'est pas en stock ou si l'ensemble de la commande pèse moins de 2 kg.
TIG_PostNL::Activate the PostNL Checkout for orders containing out of stock products,Activer les options de livraison PostNL pour les commandes de moins de 2 kg
TIG_PostNL::If the PostNL Checkout is enabled your customers will choose a specific day for delivery. In case one of the ordered products is out of stock, you might not be unable to deliver the package to PostNL in time to guarantee timely delivery to your customer.,Si PostNL Checkout est activé, vos clients choisissent le jour. Si le produit n'est pas en stock, il se peut que vous ne puissiez pas fournir le produit à temps à PostNL pour garantir une livraison au client. Pour un fonctionnement correct de cette fonctionnalité, les stocks doivent être à jour dans Magento.
TIG_PostNL::Activate PostNL delivery options for orders containing out of stock products,Activer les options de livraison PostNL pour les produits qui ne sont pas en stock.
TIG_PostNL::If delivery options are enabled your customers will choose a specific day for delivery. In case one of the ordered products is out of stock, you might not be unable to deliver the package to PostNL in time to guarantee timely delivery to your customer.,Activer les options de livraison PostNL pour les produits qui ne sont pas en stock ? Si les options de livraison sont activées, le client choisit un jour. Si le produit n'est pas en stock, il se peut que vous ne puissiez pas fournir le produit à temps à PostNL pour garantir une livraison au client. Pour un fonctionnement correct de cette fonctionnalité, les stocks doivent être à jour dans Magento.
TIG_PostNL::Shipment days and timing,Jours de livraison et heures
TIG_PostNL::Shipping duration,Délai d'arrivée
TIG_PostNL::The number of days shipping will take after a customer finishes their order.,Le nombre de jours nécessaires pour traiter la commande après qu'elle a été passée.
TIG_PostNL::Order cut-off time,Heure limite de commande
TIG_PostNL::When an order is placed after this time, another day will be added to the shipping duration. Please enter this time in the %s time zone.,Si une commande est passée après cette limite horaire, un jour sera ajouté au délai d'arrivée. Veuillez indiquer cette heure dans la zone horaire %s.
TIG_PostNL::Allow weekend sorting,utilisation du tri le week-end
TIG_PostNL::Weekend sorting is a special service where shipments are sorted by PostNL during the weekend, allowing shipments to be delivered on monday. If you enable this field, but weekend sorting is not available for your webshop, parcels will NOT be delivered the next monday.,Le tri le week-end est un service spécial de PostNL. PostNL trie les envois pendant le week-end afin qu'ils puissent être livrés le lundi. Si ce paramètre est activé, mais que le tri le week-end n'est pas disponible pour votre webshop, les envois ne seront PAS livrés le lundi.
TIG_PostNL::Please ask your PostNL account manager if this service is available for your webshop.,Demandez à votre account manager PostNL si le tri le week-end est disponible pour votre webshop.
TIG_PostNL::Weekend cut-off time,Heure limite le week-end
TIG_PostNL::When an order is placed after this time on sunday, another day will be added to the shipping duration.,Si une commande est passée après cette limite horaire, un jour sera ajouté au délai d'arrivée.
TIG_PostNL::Delivery options on the checkout page,Options de livraison en checkout propre
TIG_PostNL::Enable timeframes,Activer les calendriers
TIG_PostNL::Enable timeframes to show the expected delivery times for each delivery day.,Activez les calendriers pour voir, chaque jour, le moment de livraison prévu.
TIG_PostNL::Enable evening delivery,Activer la livraison en soirée
TIG_PostNL::Activate evening delivery for your customers. Evening delivery is not enabled for every area. The extension will automatically show evening delivery as a delivery option for addresses in enabled areas.,Activer la livraison en soirée pour vos clients. La livraison en soirée n'est pas possible partout. L'extension montre cette option automatiquement pour les adresses de livraison où la livraison le soir est possible.
TIG_PostNL::Evening timeframe fee,Supplément pour livraison en soirée
TIG_PostNL::Additional costs for evening timeframes in the store's base currency. This fee will be added to the shipping costs. This value must be between 0.00 and 2.00 EUR incl. VAT. Leave this field empty to charge no extra fee for evening timeframes.,Frais supplémentaires pour l'utilisation de la livraison en soirée dans la devise de base du storeview. Ces frais seront ajoutés aux frais d'envoi. Ces frais doivent se situer entre 0,00 et 2,00 euros TVAC. Laissez ce champ vide pour ne pas demander de frais supplémentaires pour l'utilisation de la livraison en soirée.
TIG_PostNL::Enable post office locations,Activer la localisation des bureaux de poste.
TIG_PostNL::Whether or not customers may choose to have their order delivered to a nearby post office.,Ce paramètre détermine si le client peut choisir de faire livrer sa commande dans un bureau de poste.
TIG_PostNL::Enable early delivery locations,Activer le retrait à l'aube en bureau de poste
TIG_PostNL::Some locations allow package pick-ups early in the morning. The extension will automatically check if this option is available for locations in the area submitted by your customer. You cannot use Premium Sorting or Sunday Sorting for these shipments.,Dans certains points de retrait, les clients peuvent retirer leur colis dès 8h30 au lieu de 15h. L'extension applique automatiquement cette option dans la région de votre client. Ces colis ne peuvent pas être livrés en tri Premium ou en tri du dimanche.
TIG_PostNL::Early delivery fee,Supplément pour le retrait à l'aube
TIG_PostNL::Additional costs for early delivery locations in the store's base currency. This fee will be added to the shipping costs. This value must be between 0.00 and 2.00 EUR incl. VAT. Leave this field empty to charge no extra fee for early delivery locations.,Frais supplémentaires pour l'utilisation du retrait à l'aube dans la devise de base du storeview. Ces frais seront ajoutés aux frais d'envoi. Ces frais doivent se situer entre 0,00 et 2,00 euros TVAC. Laissez ce champ vide pour ne pas demander de frais supplémentaires pour l'utilisation du retrait à l'aube.
